ts,tick_current,price_normalised,total_equity,active_lower_tick,active_upper_tick,liquidity,amount0_mm,amount1_mm,token0_fee_accul,token1_fee_accul,peak_equity
1767571817,1575,117065147,961587403667,1550,1600,355736360849393,399493990416,493919176531,7962228,10809203,961611241843
1767571825,1575,117066344,961592175565,1550,1600,355736360849393,397813019559,495887017612,7962228,10946962,961611241843
1767571831,1575,117067542,961596931305,1550,1600,355736360849393,396132065891,497854858693,7962228,11084721,961611241843
1767571843,1575,117068416,961600388134,1550,1600,355736360849393,394904671968,499291743952,7962228,11185310,961611241843
1767571869,1576,117073620,961620748839,1550,1600,355736360849393,387597266611,507846597797,7962228,11784194,961620748839
1767571985,1576,117075905,961629568782,1550,1600,355736360849393,384388313117,511603472487,7962228,12047194,961629568782
1767572197,1576,117074337,961623524304,1550,1600,355736360849393,386589523875,509026402316,8116324,12047194,961629568782
1767572409,1576,117073362,961619748371,1550,1600,355736360849393,387959451784,507422574971,8212225,12047194,961629568782
1767572415,1576,117072671,961617064217,1550,1600,355736360849393,388929809642,506286547754,8280155,12047194,961629568782
1767572501,1576,117075081,961626396652,1550,1600,355736360849393,385544768561,510249546568,8280155,12324623,961629568782
1767572557,1576,117078943,961641181726,1550,1600,355736360849393,380122392818,516597902109,8280155,12769039,961641181726
1767572591,1576,117078857,961640854768,1550,1600,355736360849393,380243812401,516455745396,8288654,12769039,961641181726
1767572593,1576,117078627,961639979836,1550,1600,355736360849393,380566069492,516078450847,8311213,12769039,961641181726
1767572593,1576,117078500,961639496401,1550,1600,355736360849393,380744569053,515869466123,8323708,12769039,961641181726
1767572631,1576,117077916,961637270454,1550,1600,355736360849393,381565025466,514908890454,8381143,12769039,961641181726
1767572719,1576,117078280,961638658421,1550,1600,355736360849393,381053271433,515508042344,8381143,12810983,961641181726
1767572795,1576,117079462,961643152676,1550,1600,355736360849393,379394316560,517450327989,8381143,12946952,961643152676
1767572861,1577,117081303,961650113539,1550,1600,355736360849393,376809712794,520476391970,8381143,13158792,961650113539
1767572905,1576,117079493,961643270282,1550,1600,355736360849393,379350803862,517501272429,8559032,13158792,961650113539
1767572955,1576,117078615,961639934166,1550,1600,355736360849393,380583673555,516057840252,8645338,13158792,961650113539
1767573093,1576,117072903,961617966156,1550,1600,355736360849393,388603977183,506668008895,9206798,13158792,961650113539
1767573167,1576,117075819,961629238156,1550,1600,355736360849393,384509398394,511461710855,9206798,13494374,961650113539
1767573173,1576,117078735,961640390765,1550,1600,355736360849393,380414921592,516255412814,9206798,13829957,961650113539
1767573289,1576,117079570,961643562340,1550,1600,355736360849393,379241694717,517629016905,9206798,13926116,961650113539
1767573333,1576,117079652,961643873271,1550,1600,355736360849393,379127546021,517762661754,9206798,13935472,961650113539
1767573389,1576,117073940,961621988432,1550,1600,355736360849393,387147849650,508372747222,9768258,13935472,961650113539
1767573393,1576,117075603,961628407289,1550,1600,355736360849393,384812731967,511106580918,9768258,14126854,961650113539
1767573449,1576,117075602,961628403440,1550,1600,355736360849393,384814258837,511104793325,9768364,14126854,961650113539
1767573513,1576,117074918,961625768024,1550,1600,355736360849393,385773604579,509981636798,9835522,14126854,961650113539
1767573657,1576,117069207,961603507438,1550,1600,355736360849393,393793908207,500592101886,10396982,14126854,961650113539
1767573917,1576,117069235,961603617695,1550,1600,355736360849393,393754333193,500638432047,10396982,14130097,961650113539
1767573929,1576,117069376,961604172750,1550,1600,355736360849393,393556237333,500870341496,10396982,14146332,961650113539
1767573929,1576,117070433,961608324800,1550,1600,355736360849393,392071817824,502608150003,10396982,14267987,961650113539
1767573951,1575,117068158,961599368813,1550,1600,355736360849393,395266964001,498867614875,10620657,14267987,961650113539
1767573963,1575,117067686,961597501589,1550,1600,355736360849393,395928775429,498092845987,10666987,14267987,961650113539
1767573987,1575,117068235,961599673127,1550,1600,355736360849393,395158390352,498994720088,10666987,14331122,961650113539
1767574071,1575,117068403,961600336797,1550,1600,355736360849393,394921987086,499271473420,10666987,14350496,961650113539
1767574073,1576,117069406,961604290811,1550,1600,355736360849393,393514245663,500919500888,10666987,14412911,961650113539
1767574073,1576,117068863,961602151955,1550,1600,355736360849393,394275823996,500027927720,10666987,14420186,961650113539
1767574073,1575,117068800,961601903534,1550,1600,355736360849393,394364588667,499924011957,10666987,14465867,961650113539
1767574107,1576,117069435,961604404924,1550,1600,355736360849393,393473675712,500966995895,10666987,14469192,961650113539
1767574107,1576,117070144,961607191124,1550,1600,355736360849393,392477509486,502133205602,10666987,14550832,961650113539
1767574143,1575,117068231,961599657320,1550,1600,355736360849393,395164265160,498987842554,10855073,14550832,961650113539
1767574165,1575,117068432,961600451319,1550,1600,355736360849393,394881329639,499319070450,10855073,14574020,961650113539
1767574173,1575,117068595,961601094789,1550,1600,355736360849393,394652072349,499587458552,10855073,14592808,961650113539
1767574211,1575,117068732,961601635333,1550,1600,355736360849393,394460709838,499811484088,10855073,14608491,961650113539
1767574253,1576,117068984,961602628929,1550,1600,355736360849393,394105946058,500226801996,10855073,14637565,961650113539
1767574327,1575,117063921,961582495300,1550,1600,355736360849393,401216077921,491903222804,11352818,14637565,961650113539
1767574389,1575,117062493,961576751604,1550,1600,355736360849393,403221125485,489556049809,11493181,14637565,961650113539
1767574417,1575,117059638,961565182371,1550,1600,355736360849393,407231220612,484861789700,11773907,14637565,961650113539
1767574427,1575,117060728,961569612855,1550,1600,355736360849393,405700925445,486653156027,11773907,14762970,961650113539
1767574463,1575,117060077,961566968766,1550,1600,355736360849393,406614490487,485583733109,11837861,14762970,961650113539
1767574469,1575,117059394,961564188307,1550,1600,355736360849393,407573913310,484460635285,11905025,14762970,961650113539
1767574563,1575,117062650,961577384489,1550,1600,355736360849393,403001858759,489812729077,11905025,15137643,961650113539
1767574579,1575,117061293,961571902825,1550,1600,355736360849393,404906444964,487583182910,12038355,15137643,961650113539
1767574625,1575,117060347,961568066114,1550,1600,355736360849393,406235241856,486027682362,12131377,15137643,961650113539
1767574643,1575,117059584,961564962446,1550,1600,355736360849393,407307559646,484772427524,12206444,15137643,961650113539
1767574667,1575,117059722,961565524396,1550,1600,355736360849393,407113358365,484999758870,12206444,15153557,961650113539
1767574671,1575,117060758,961569734559,1550,1600,355736360849393,405658633859,486702662872,12206444,15272769,961650113539
1767574855,1575,117060635,961569235492,1550,1600,355736360849393,405831245135,486500602909,12218527,15272769,961650113539
1767574855,1575,117060493,961568659069,1550,1600,355736360849393,406029865461,486268096834,12220347,15272769,961650113539
1767574855,1575,117060512,961568736213,1550,1600,355736360849393,406003856371,486298543206,12232430,15272769,961650113539
1767574905,1575,117060367,961568147359,1550,1600,355736360849393,406207730183,486059887625,12244881,15272769,961650113539
1767574907,1575,117060350,961568078302,1550,1600,355736360849393,406231596248,486031949924,12246551,15272769,961650113539
1767574985,1575,117060441,961568447915,1550,1600,355736360849393,406104005866,486181307730,12246551,15283224,961650113539
1767575077,1575,117059084,961562924152,1550,1600,355736360849393,408008592325,483951803336,12379881,15283224,961650113539
1767575149,1575,117058867,961562038440,1550,1600,355736360849393,408313653958,483594701311,12401236,15283224,961650113539
1767575165,1575,117058955,961562397703,1550,1600,355736360849393,408190604196,483738742023,12401236,15293308,961650113539
1767575183,1575,117059217,961563466681,1550,1600,355736360849393,407821788506,484170474301,12401236,15323531,961650113539
1767575193,1575,117059065,961562846628,1550,1600,355736360849393,408036061273,483919648439,12416236,15323531,961650113539
1767575235,1575,117060203,961567480989,1550,1600,355736360849393,406437487729,485790932786,12416236,15421921,961650113539
1767575235,1575,117059348,961564000809,1550,1600,355736360849393,407638130662,484385462857,12416236,15454530,961650113539
1767575253,1575,117059159,961563230120,1550,1600,355736360849393,407904176259,484074031866,12518911,15454530,961650113539
1767575259,1575,117058400,961560130079,1550,1600,355736360849393,408970156491,482826208414,12593534,15454530,961650113539
1767575299,1575,117058642,961561119376,1550,1600,355736360849393,408630294699,483224045601,12593534,15482381,961650113539
